flight_id,airline,source,destination,departure_time,arrival_time,duration,is_valid_flight_id,route,date_corrected,duration_minutes,is_overnight,is_anomaly
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,02:54:00,True,CCU-MAA,False,174.0,True,False
AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,01:48:00,True,BOM-CCU,False,108.0,True,False
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,01:45:00,True,BOM-CCU,False,105.0,True,False
AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,02:36:00,True,BOM-CCU,False,156.0,True,False
AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,04:59:00,True,MAA-BOM,False,299.0,True,False
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,02:19:00,True,DEL-HYD,False,139.0,True,False
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,01:43:00,True,CCU-MAA,False,103.0,True,False
AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,01:32:00,True,BOM-HYD,False,92.0,True,False
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,00:55:00,True,BLR-BOM,False,55.0,False,False
6F251,IndiGo,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,00:41:00,True,DEL-BLR,False,41.0,False,False
AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,02:28:00,True,BOM-DEL,False,148.0,True,False
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,04:27:00,True,BOM-CCU,False,267.0,True,False
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,03:01:00,True,DEL-MAA,False,181.0,True,False
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,02:21:00,True,BOM-CCU,False,141.0,True,False
AI069,Air India,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,03:46:00,True,DEL-BOM,False,226.0,True,False
AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,01:38:00,True,BOM-CCU,False,98.0,True,False
AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,03:43:00,True,BOM-DEL,False,223.0,True,False
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,01:46:00,True,BOM-CCU,False,106.0,True,False
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,00:35:00,True,MAA-DEL,False,35.0,False,False
AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,03:52:00,True,CCU-DEL,False,232.0,True,False
SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,02:20:00,True,HYD-DEL,False,140.0,True,False
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,02:27:00,True,BLR-BOM,False,147.0,True,False
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,01:50:00,True,HYD-MAA,False,110.0,False,False
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,03:16:00,True,CCU-DEL,False,196.0,True,False
AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,01:53:00,True,DEL-HYD,False,113.0,False,False
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,01:04:00,True,HYD-CCU,False,64.0,False,False
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,01:06:00,True,BLR-BOM,False,66.0,False,False
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,00:55:00,True,CCU-DEL,False,55.0,False,False
UK003,Vistara,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,04:38:00,True,HYD-DEL,False,278.0,True,False
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,02:06:00,True,HYD-MAA,False,126.0,False,False
6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,00:40:00,True,DEL-HYD,False,40.0,False,False
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,03:26:00,True,BOM-CCU,False,206.0,True,False
SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,02:00:00.298000,True,HYD-MAA,False,120.00496666666666,False,False
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,03:27:00,True,BLR-BOM,False,207.0,True,False
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,01:51:00,True,CCU-DEL,False,111.0,False,False
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,01:16:00,True,BOM-MAA,False,76.0,False,False
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,00:37:00,True,HYD-BOM,False,37.0,False,False
AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,04:38:00,True,HYD-BOM,False,278.0,True,False
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,01:23:00,True,DEL-CCU,False,83.0,False,False
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,03:19:00,True,BOM-DEL,False,199.0,False,False
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,01:37:00,True,HYD-MAA,False,97.0,False,False
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,04:47:00,True,BOM-MAA,False,287.0,True,False
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,04:00:00,True,CCU-DEL,False,240.0,True,False
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,00:37:00,True,MAA-HYD,False,37.0,False,False
AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,01:38:00,True,BOM-DEL,False,98.0,False,False
AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,02:46:00,True,CCU-HYD,False,166.0,False,False
6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,00:50:00,True,BOM-MAA,False,50.0,False,False
SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,03:30:00,True,DEL-HYD,False,210.0,False,False
6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,04:34:00,True,DEL-MAA,False,274.0,True,False
SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,00:42:00,True,MAA-CCU,False,42.0,False,False
6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,02:00:00,True,HYD-CCU,False,120.0,False,False
