route,amount
HYD-BLR,17585.84
DEL-CCU,16585.72
BOM-HYD,15682.64
HYD-CCU,14050.05
BLR-CCU,13858.22
DEL-HYD,13835.73
MAA-CCU,13714.64
BOM-CCU,13507.31
HYD-MAA,13271.74
MAA-BLR,13234.13
BLR-BOM,13187.69
CCU-HYD,13174.29
BOM-MAA,12885.95
BOM-DEL,12741.86
BOM-BLR,12449.93
CCU-DEL,11965.97
BLR-MAA,11856.94
BLR-HYD,11812.03
HYD-DEL,11508.61
CCU-BOM,11431.54
BLR-DEL,11222.76
MAA-DEL,11113.79
MAA-BOM,11043.36
HYD-BOM,10799.98
DEL-BOM,10464.25
CCU-MAA,10093.74
MAA-HYD,10028.7
CCU-BLR,9460.77
DEL-BLR,9098.0
DEL-MAA,8342.74
