route,amount
BOM-CCU,756409.16
CCU-DEL,598298.49
MAA-BLR,555833.66
BLR-BOM,553883.03
DEL-HYD,553429.34
HYD-MAA,477782.62
HYD-DEL,345258.15
HYD-BLR,334131.04
BOM-DEL,331288.23
HYD-CCU,266951.01
DEL-CCU,248785.72
BOM-HYD,235239.56
DEL-BLR,209254.09
DEL-BOM,198820.68
BOM-MAA,193289.2
CCU-HYD,184440.06
CCU-BOM,182904.7
MAA-CCU,178290.34
HYD-BOM,172799.76
BOM-BLR,161849.11
MAA-BOM,154607.08
BLR-CCU,152440.38
MAA-DEL,144479.23
CCU-BLR,132450.75
CCU-MAA,131218.58
MAA-HYD,120344.43
BLR-HYD,118120.32
DEL-MAA,116798.3
BLR-MAA,106712.44
BLR-DEL,89782.06
